,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs,Download URLs
25649,01 - C6620 - 6431-Prasanna_Venkat,3,shrI_mAtrubhUtam_trishiragiri,kannaDa,m_dIkshitar,Prasanna Venkatraman,https://www.sangeethamshare.org/tvg/UPLOADS-6401---6600/6431-Prasanna_Venkatraman//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6401---6600/6431-Prasanna_Venkatraman/03-shrI_mAtrubhUtam_trishiragiri-kannaDa.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6401---6600/6431-Prasanna_Venkatraman/
3536,06 - c0625 - 0721_Sri.O.S.Thyagar,1,rArA_mAyiNTi_dAka_raghuvIra,asAvEri,tyAgarAja,OS Thyagarajan,https://www.sangeethamshare.org/svasu/UPLOADS-0601-0800/0721_Sri.O.S.Thyagarajan/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/svasu/UPLOADS-0601-0800/0721_Sri.O.S.Thyagarajan/01-rArA_mAyiNTi_dAka_raghuvIra-asAvEri.mp3&amp;url=https://www.sangeethamshare.org/svasu/UPLOADS-0601-0800/0721_Sri.O.S.Thyagarajan/
4155,02 - C0314 - 328_Parasalla_Ponnam,7,tyAgarAja_svAmi,aThANA,ambujam_krishna,Parassala Ponnammal,https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/328_Parasalla_Ponnamal_26.12.08_bharathkalachar/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/kasturi/UPLOADS-0201-0400/328_Parasalla_Ponnamal_26.12.08_bharathkalachar/07_tyAgarAja_svAmi_aThANA_ambujam_krishna.mp3&amp;url=https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/328_Parasalla_Ponnamal_26.12.08_bharathkalachar/
13716,01 - C6544 - 37-UP_Raju-Nagamani-,2,duDukugala_nannE_dorakoDuku,gauLa,tyAgarAja,"UP Raju,Nagamani",https://www.sangeethamshare.org/tvg/SEASON_2019/37-UP_Raju-Nagamani-Mandolin_Duet//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2019/37-UP_Raju-Nagamani-Mandolin_Duet/02-duDukugala_nannE_dorakoDuku-gauLa.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2019/37-UP_Raju-Nagamani-Mandolin_Duet/
4094,10 - C0344 - 341-Alathur_Brothers,1,shrI_mahAgaNapatim_bhajEham,aThANA,jayacAmarAja_wodayAr,Alathur Brothers,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/341-Alathur_Brothers-Vocal//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-201-400/341-Alathur_Brothers-Vocal/01-Chalamela-Natakuranji-Ata-Rangaswami_Pillai.mp3&amp;url=https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/341-Alathur_Brothers-Vocal/
38690,29 - C0011 - MMI-TNK-VR-MA66,2,budhamAshrayAmi_satatam,nATTakurinji,m_dIkshitar,Madurai Mani Iyer,https://www.sangeethamshare.org/ramanujam/Madurai-Mani-Iyer/MMI-TNK-VR-MA66/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ramanujam/Madurai-Mani-Iyer/MMI-TNK-VR-MA66/02-budhamAshrayAmi_satatam-nATTakurinji.mp3&amp;url=https://www.sangeethamshare.org/ramanujam/Madurai-Mani-Iyer/MMI-TNK-VR-MA66/
13191,02 - C0236 - 250_PattabhiramaPand,1,shrI_jAlandharam,gambhIranATai,jayacAmarAja_wodayAr,Pattabhirama Pandit,https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/250_PattabhiramaPandit_HSS_BGS_30.12.09/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/kasturi/UPLOADS-0201-0400/250_PattabhiramaPandit_HSS_BGS_30.12.09/01-shrI_jAlanDharam_AshrayAmyaham-gambhIra_nAta-thriputa-jayachAmarAja_odeyar.mp3&amp;url=https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/250_PattabhiramaPandit_HSS_BGS_30.12.09/
40943,01 - C2527 - 2533-ML_Vasanthakuma,3,EkAmranAtham_bhajEham,pUrvikalyANi,m_dIkshitar,ML Vasanthakumari,https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2533-ML_Vasanthakumari-National_Programme//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2401---2600/2533-ML_Vasanthakumari-National_Programme/03-EkAmranAtham_bhajEham-pUrvikalyANi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2533-ML_Vasanthakumari-National_Programme/
24558,23 - C0309 - 333_R_K_Srikantan-Ch,6,shri_subrahmaNyAya_namastE,kAmbOji,m_dIkshitar,RK Srikantan,https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/333_R_K_Srikantan-Chennai-2013//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/murthy/Karnatak/UPLOADS-201-400/333_R_K_Srikantan-Chennai-2013/06-shri_subrahmaNyAya_namastE-kAmbOji.mp3&amp;url=https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/333_R_K_Srikantan-Chennai-2013/
22139,01 - C1737 - 1518-NC_Madhav-Viola,1,kanjadaLAya_tAkSi_kAmAkSi,kamalamanOhari,m_dIkshitar,NC Madhav,https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1518-NC_Madhav-Viola//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1401---1600/1518-NC_Madhav-Viola/01-kanjadaLAya_tAkSi_kAmAkSi-kamalamanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1518-NC_Madhav-Viola/
22148,01 - C3205 - 030-Jayanthi_Kumares,1,kanjadaLAya_tAkSi_kAmAkSi,kamalamanOhari,m_dIkshitar,Jayanthi Kumaresh,https://www.sangeethamshare.org/tvg/SEASON_2013/030-Jayanthi_Kumaresh-Veena//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2013/030-Jayanthi_Kumaresh-Veena/01-kanjadaLAya_tAkSi_kAmAkSi-kamalamanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2013/030-Jayanthi_Kumaresh-Veena/
23116,03 - C0620 - 358-KV_nArAyaNaswAmy,4,shiva_shiva_shiva_yanarAdA,kAmavardhini,tyAgarAja,Palghat KV Narayanaswamy,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/358-KV_nArAyaNaswAmy-MSA_TN-Bay_Area-CA-USA-1983//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-301-600/358-KV_nArAyaNaswAmy-MSA_TN-Bay_Area-CA-USA-1983/04-shiva_shiva_shiva_enarAdha-kAmavarDhini-Adhi-thyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/358-KV_nArAyaNaswAmy-MSA_TN-Bay_Area-CA-USA-1983/
13145,10 - C0146 - 142-Dr_M_Balamuralik,4,rAgam_tAnam_pallavi,gambhIranATai,Own/Others,M BalamuraliKrishna,https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/142-Dr_M_Balamuralikrishna-Vocal//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-001-200/142-Dr_M_Balamuralikrishna-Vocal/04-mahanIya_manas-sulivE-sumukhi.mp3&amp;url=https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/142-Dr_M_Balamuralikrishna-Vocal/
12311,01 - C6258 - 6106-Vidya_Kalyanara,2,bhajanasEya_rAdA,dharmavati,mysore_vAsudevAcAr,Vidya Kalyanaraman,https://www.sangeethamshare.org/tvg/UPLOADS-6001---6200/6106-Vidya_Kalyanaraman//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6001---6200/6106-Vidya_Kalyanaraman/02-bhajanasEya_rAdA-dharmavati.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6001---6200/6106-Vidya_Kalyanaraman/
35003,01 - C6417 - 6267-Sriram_Parasura,4,bhuvanEshwariyA,mOhanakalyANi,muthaiah_bAgavatar,Sriram Parasuram,https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6267-Sriram_Parasuram-Violin//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6201---6400/6267-Sriram_Parasuram-Violin/04-bhuvanEshwariyA-mOhanakalyANi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6267-Sriram_Parasuram-Violin/
7856,01 - c0743 - 244.SUBHA_GANESAN,1,Ekadantam_bhajEham,bilahari,m_dIkshitar,Subha Ganesan,https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/244.SUBHA_GANESAN//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0201---0400/244.SUBHA_GANESAN/01-Ekadantam_bhajEham-bilahari.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/244.SUBHA_GANESAN/
14775,01 - C1261 - 796.M.S.GOPALAKRISHN,4,mAnamu_lEdA,hamIrkalyANi,tyAgarAja,MS Gopalakrishnan,https://www.sangeethamshare.org/tvg/UPLOADS-0601---0800/796.M.S.GOPALAKRISHNAN-DR.M.NARMADHA-VIOLIN//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0601---0800/796.M.S.GOPALAKRISHNAN-DR.M.NARMADHA-VIOLIN/04-mAnamu_lEdA_tanavADana-hamIrkalyANi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0601---0800/796.M.S.GOPALAKRISHNAN-DR.M.NARMADHA-VIOLIN/
45439,01 - C0112 - 1208-M_A_Krishnaswam,3,aruNAcala_nAtham_smarAmi,sAranga,m_dIkshitar,MA Krishnaswamy,https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1208-M_A_Krishnaswamy-Violin_Solo/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1201---1400/1208-M_A_Krishnaswamy-Violin_Solo/03-arunNAcala_nAtham_smarAmi-sAranga.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1208-M_A_Krishnaswamy-Violin_Solo/
59957,01 - C6037 - 16-Kalyani_Ganesan-V,1,divAkara_tanujam,yadukulakAmbhOji,m_dIkshitar,Kalyani Ganesan,https://www.sangeethamshare.org/tvg/SEASON_2018/16-Kalyani_Ganesan-Veena//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2018/16-Kalyani_Ganesan-Veena/01-divAkara_tanujam-yadukulakAmbhOji.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2018/16-Kalyani_Ganesan-Veena/
31438,05 - C0026 - 30-MDR-LS-DRR,5,aparAdhamulanniyu,latAngi,patnam_subhramanya_iyer,MD Ramanathan,https://www.sangeethamshare.org/sridharan/30-MDR-LS-DRR/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sridharan/30-MDR-LS-DRR/05-aparAdhamulanniyu-latAngi.mp3&amp;url=https://www.sangeethamshare.org/sridharan/30-MDR-LS-DRR/
410,23 - C0128 - 137-S-Ramanathan-MSG,4,vINAbhEri_vEnuvAdyAdi_vinOdinIm,AbhEri,m_dIkshitar,S Ramanathan,https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-001-200/137-S-Ramanathan-MSG-TKM-MD-kritis/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/murthy/Karnatak/UPLOADS-001-200/137-S-Ramanathan-MSG-TKM-MD-kritis/04-vINAbhEri_vEnuvAdyAdi_vinOdinIm-AbhEri.mp3&amp;url=https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-001-200/137-S-Ramanathan-MSG-TKM-MD-kritis/
1126,10 - C0664 - 675-N_Ramani-Flute,6,mAyammAyani_nE_pilacitE,Ahiri,syAmA_sAstri,N Ramani,https://www.sangeethamshare.org/vijayagopal/UPLOADS-601-800/675-N_Ramani-Flute//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-601-800/675-N_Ramani-Flute/06-Tiruppugazh-Ragamalika.mp3&amp;url=https://www.sangeethamshare.org/vijayagopal/UPLOADS-601-800/675-N_Ramani-Flute/
59225,06 - c0687 - 0785_Sri.SriramParth,1,rAmacandram_bhAvayAmi,vasantA,m_dIkshitar,Sriram Parthasarathy,https://www.sangeethamshare.org/svasu/UPLOADS-0601-0800/0785_Sri.SriramParthasarathy/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/svasu/UPLOADS-0601-0800/0785_Sri.SriramParthasarathy/01-rAmacandram_bhAvayAmi-vasantA.mp3&amp;url=https://www.sangeethamshare.org/svasu/UPLOADS-0601-0800/0785_Sri.SriramParthasarathy/
33259,01 - C4074 - 4019-Sreevalsan_J_Me,1,manasA_eTulOrtunE,malayamArutam,tyAgarAja,Sreevalsan J Menon,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4019-Sreevalsan_J_Menon-TV_Audio-SRSN//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4001---4200/4019-Sreevalsan_J_Menon-TV_Audio-SRSN/01-manasA_eTulOrtunE-malayamArutam.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4019-Sreevalsan_J_Menon-TV_Audio-SRSN/
23208,03 - C1065 - 711-trichUr_V_rAmach,4,shivAnanda_kAmavardhani,kAmavardhini,GN_bAlasubramanian,Trichur V Ramachandran,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-601-900/711-trichUr_V_rAmachandhran-vocal-2000/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-601-900/711-trichUr_V_rAmachandhran-vocal-2000/04-shivAnandha_kAmavarDhini-kAmavarDhini-chApu-GNB.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-601-900/711-trichUr_V_rAmachandhran-vocal-2000/
11391,01 - C4724 - 4637-Sumithra_Vasude,3,nIkEla_nAyeDa,dEvamanOhari,poochi_srinivasa_iyengar,Sumithra Vasudev,https://www.sangeethamshare.org/tvg/UPLOADS-4601---4800/4637-Sumithra_Vasudev//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4601---4800/4637-Sumithra_Vasudev/03-nIkEla_nAyeDa-dEvamanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-4601---4800/4637-Sumithra_Vasudev/
18674,01 - C1535 - 02-Sudha_Raghunathan,2,shObhillu_saptasvara_sundarulanu,jaganmOhini,tyAgarAja,Sudha Raghunathan,https://www.sangeethamshare.org/tvg/SEASON_2010/02-Sudha_Raghunathan//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2010/02-Sudha_Raghunathan/02-Shobhillu_saptasvara-jaganmogini-tyagaraja.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2010/02-Sudha_Raghunathan/
36078,15 - C0151 - 146-D.K.Jayaraman-Li,13,rAgam_tAnam_pallavi,mOhanam,Own/Others,DK Jayaraman,https://www.sangeethamshare.org/muralidaran/Uploads-101-200/146-D.K.Jayaraman-Live_Concert-9/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/muralidaran/Uploads-101-200/146-D.K.Jayaraman-Live_Concert-9/13-rAgam_tAnam_pallavi-mOhanam.mp3&amp;url=https://www.sangeethamshare.org/muralidaran/Uploads-101-200/146-D.K.Jayaraman-Live_Concert-9/
9721,03 - C0156 - 082-Salem_ShrIrAm-Vo,6,rAgam_tAnam_pallavi,cArukEsi,Own/Others,Salem Sriram,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/082-Salem_ShrIrAm-Vocal-RamaNa_kEndhra-Dec-14-2008//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-001-300/082-Salem_ShrIrAm-Vocal-RamaNa_kEndhra-Dec-14-2008/06-Irakkam_VarAmal_ponadhenna_kAraNam-bEhAg-RUpaka-GOpAlakrishNa_BhArathi.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/082-Salem_ShrIrAm-Vocal-RamaNa_kEndhra-Dec-14-2008/
51358,38 - C0011 - 006-MDR-Live-06,3,endarO_mahAnubhAvulu,shrI,tyAgarAja,MD Ramanathan,https://www.sangeethamshare.org/rao_sharath/MDR/006-MDR-Live-06/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/rao_sharath/MDR/006-MDR-Live-06/03-endarO_mahAnubhAvulu-shrI.mp3&amp;url=https://www.sangeethamshare.org/rao_sharath/MDR/006-MDR-Live-06/
26976,01 - C6368 - 6218-TR_Padmini,3,vAncatOnu,karNaranjani,muthaiah_bAgavatar,TR Padmini,https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6218-TR_Padmini//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6201---6400/6218-TR_Padmini/03-vAncatOnu-karNaranjani.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6218-TR_Padmini/
